CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,157,1,77183.6,2
12347.0,15,102,2205.95,0
12348.0,80,28,1487.24,0
12350.0,141,17,334.4,1
12352.0,93,38,1561.81,1
12353.0,35,4,89.0,0
12354.0,64,58,1079.4,0
12355.0,46,13,459.4,0
12356.0,77,57,2753.08,0
12359.0,21,143,3495.73,0
12360.0,32,45,1083.58,0
12361.0,119,10,189.9,1
12362.0,57,56,974.34,0
12363.0,74,16,299.1,0
12365.0,123,22,641.38,1
12370.0,106,139,2806.41,1
12372.0,44,39,914.9200000000001,0
12373.0,143,14,364.6,1
12377.0,146,77,1628.12,1
12379.0,1,20,459.84,0
12380.0,17,36,607.5500000000001,0
12383.0,16,99,1850.56,0
12386.0,169,10,401.9,1
12388.0,106,35,766.25,1
12393.0,77,39,1061.1000000000001,0
12394.0,49,21,381.08,0
12395.0,43,79,1569.72,0
12399.0,15,47,899.03,0
12401.0,135,5,84.3,1
12402.0,155,11,225.6,1
12406.0,15,49,1621.25,0
12407.0,67,27,495.96,0
12408.0,7,65,1491.77,0
12409.0,14,64,6207.08,0
12410.0,140,26,693.3299999999999,1
12412.0,1,28,514.5,0
12413.0,67,28,563.9,0
12414.0,49,18,562.41,0
12415.0,9,414,74310.71,2
12417.0,18,92,1898.27,0
12421.0,5,25,396.8,0
12422.0,156,13,238.5,1
12423.0,23,96,1451.69,0
12426.0,26,30,582.73,0
12427.0,203,10,303.5,1
12428.0,74,235,6310.54,0
12429.0,4,70,2844.88,0
12431.0,32,131,3158.53,0
12432.0,2,76,4016.66,0
12433.0,197,147,3787.12,1
12434.0,92,16,286.25,1
12435.0,99,19,3978.9900000000002,1
12437.0,9,88,2476.73,0
12441.0,198,11,173.55,1
12444.0,3,90,1870.2,0
12447.0,75,26,476.49,0
12449.0,18,48,858.9300000000001,0
12450.0,5,6,101.88,0
12451.0,49,195,5307.82,0
12455.0,21,55,1963.3,0
12456.0,86,41,940.1700000000001,0
12457.0,65,25,1067.25,0
12458.0,116,19,441.92,1
12462.0,135,40,762.11,1
12463.0,7,61,985.79,0
